CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
11S00040,Expired Time,Fraser River Parkade,15-01-08,Toyota
11S00041,Parking Without Authorization,Memorial Lot,15-01-08,Toyota
11S00042,Parking Without Authorization,Memorial Lot,15-01-08,Toyota
11S00043,Parking Without Authorization,Memorial Lot,15-01-08,Toyota
11S00044,Parking Without Authorization,Armouries Lot,15-01-08,Toyota
11S00045,Parking Without Authorization,Music Underground,15-01-08,Honda
11S00046,Parking Without Authorization,Buchanan Meters,15-01-08,Honda
11S00047,Parking Without Authorization,Buchanan Meters,15-01-08,Toyota
11S00048,Expired Time,Belkin Art Gallery,15-01-08,BMW
11S00049,Parking Without Authorization,Marine Drive Lot,15-01-08,Honda
11S00050,Parking Without Authorization,Lower Mall Road,15-01-08,Ford
11S00051,Expired Time,Fraser River Parkade,15-01-08,Hyundai
11S00052,Parking Without Authorization,Armouries Lot,15-01-08,Volkswagen
11S00053,Expired Time,Buchanan Meters,15-01-08,Saab
11S00054,Parking Without Authorization,Wesbrook Mall,15-01-09,Ford
11S00055,Parking Without Authorization,Agronomy Road,15-01-09,Subaru
11S00056,Parking Without Authorization,Agronomy Road,15-01-09,Mercendes-Benz
11S00057,Parking Without Authorization,C2 LOT,15-01-09,Acura
11S00058,Parking Without Authorization,C2 LOT,15-01-09,Infiniti
11S00059,Parking Without Authorization,C2 LOT,15-01-09,Toyota
11S00060,Parking Without Authorization,B4 LOT,15-01-09,Toyota
11S00061,Vehicle in Pedestrian Area,Forest Science Centre,15-01-09,Honda
11S00062,Parking Without Authorization,Winter Sports Lot,15-01-09,Acura
11S00063,Parking Without Authorization,Winter Sports Lot,15-01-09,Volkswagen
11S00064,Expired Time,Winter Sports Lot,15-01-09,Honda
11S00065,Parking Without Authorization,East Mall Road,15-01-09,Acura
11S00066,Expired Time,Memorial Gym,15-01-09,Volkswagen
11S00067,Expired Time,Memorial Gym,15-01-09,Chrysler
11S00068,Parking Without Authorization,B4 LOT,15-01-09,BMW
11S00069,Parking Without Authorization,Fairview Avenue,15-01-09,Volkswagen
11S00070,Parking Without Authorization,Winter Sports Lot,15-01-09,Mazda
11S00071,Parking Without Authorization,B4 LOT,15-01-10,Ford
11S00072,Parking Without Authorization,B4 LOT,15-01-10,Chevrolet
11S00073,Parking Without Authorization,Marine Drive Lot,15-01-10,BMW
11S00074,Parking Without Authorization,Marine Drive Lot,15-01-10,Dodge
11S00075,Parking Without Authorization,Marine Drive Lot,15-01-10,Hyundai
11S00076,Parking Without Authorization,Fraser River Parkade,15-01-10,Honda
11S00077,Parking Without Authorization,Fraser River Parkade,15-01-10,Volvo
11S00078,Parking Without Authorization,Armouries Lot,15-01-10,BMW
11S00079,Parking Without Authorization,Music Underground,15-01-10,Infiniti
11S00080,Expired Time,GSAB Lot,15-01-10,Chrysler
11S00081,Expired Time,GSAB Lot,15-01-10,Chrysler
11S00082,Parking Without Authorization,GSAB Lot,15-01-10,Toyota
